trial_id,filler_or_item_id,location_condition,agent_in_picture,agent_in_question,verb_in_picture,verb_in_question,patient_in_picture,patient_in_question,picture_file,question_file,answer_script,question_script
09,item_02,Agent,Molly,Jenny,Kiss,Kiss,Tommy,Tommy,MollyIsKissingTommy.png,IsJennyKissingTommy.wav,no Molly is kissing Tommy,is Jenny kissing Tommy
37,filler_05,Agent,Molly,Jenny,Lift,Lift,Harvey,Harvey,MollyIsLiftingHarvey.png,IsJennyLiftingHarvey.wav,no Molly is lifting Harvey,is Jenny lifting Harvey
71,filler_39,Agent,Molly,Jenny,Kick,Kick,Davey,Davey,MollyIsKickingDavey.png,IsJennyKickingDavey.wav,no Molly is kicking Davey,is Jenny kicking Davey
25,item_04,Agent,Molly,Jenny,Poke,Poke,Timmy,Timmy,MollyIsPokingTimmy.png,IsJennyPokingTimmy.wav,no Molly is poking Timmy,is Jenny poking Timmy
63,filler_31,Agent,Molly,Jenny,Kick,Kick,Jimmy,Jimmy,MollyIsKickingJimmy.png,IsJennyKickingJimmy.wav,no Molly is kicking Jimmy,is Jenny kicking Jimmy
66,filler_34,Agent,Molly,Jenny,Lift,Lift,Danny,Danny,MollyIsLiftingDanny.png,IsJennyLiftingDanny.wav,no Molly is lifting Danny,is Jenny lifting Danny
29,item_04,Agent,Molly,Jenny,Poke,Poke,Timmy,Timmy,MollyIsPokingTimmy.png,IsJennyPokingTimmy.wav,no Molly is poking Timmy,is Jenny poking Timmy
22,item_03,Agent,Molly,Jenny,Push,Push,Benny,Benny,MollyIsPushingBenny.png,IsJennyPushingBenny.wav,no Molly is pushing Benny,is Jenny pushing Benny
41,filler_09,Agent,Molly,Jenny,Push,Push,Percy,Percy,MollyIsPushingPercy.png,IsJennyPushingPercy.wav,no Molly is pushing Percy,is Jenny pushing Percy
50,filler_18,Agent,Molly,Jenny,Poke,Poke,Davey,Davey,MollyIsPokingDavey.png,IsJennyPokingDavey.wav,no Molly is poking Davey,is Jenny poking Davey
52,filler_20,Agent,Molly,Jenny,Poke,Poke,Gary,Gary,MollyIsPokingGary.png,IsJennyPokingGary.wav,no Molly is poking Gary,is Jenny poking Gary
64,filler_32,Agent,Molly,Jenny,Kiss,Kiss,Jerry,Jerry,MollyIsKissingJerry.png,IsJennyKissingJerry.wav,no Molly is kissing Jerry,is Jenny kissing Jerry
03,item_01,Agent,Molly,Jenny,Kick,Kick,Joey,Joey,MollyIsKickingJoey.png,IsJennyKickingJoey.wav,no Molly is kicking Joey,is Jenny kicking Joey
51,filler_19,Agent,Molly,Jenny,Push,Push,Sammy,Sammy,MollyIsPushingSammy.png,IsJennyPushingSammy.wav,no Molly is pushing Sammy,is Jenny pushing Sammy
60,filler_28,Agent,Molly,Jenny,Kick,Kick,Percy,Percy,MollyIsKickingPercy.png,IsJennyKickingPercy.wav,no Molly is kicking Percy,is Jenny kicking Percy
02,item_01,Agent,Molly,Jenny,Kick,Kick,Joey,Joey,MollyIsKickingJoey.png,IsJennyKickingJoey.wav,no Molly is kicking Joey,is Jenny kicking Joey
70,filler_38,Agent,Molly,Jenny,Lift,Lift,Jerry,Jerry,MollyIsLiftingJerry.png,IsJennyLiftingJerry.wav,no Molly is lifting Jerry,is Jenny lifting Jerry
65,filler_33,Agent,Molly,Jenny,Kiss,Kiss,Danny,Danny,MollyIsKissingDanny.png,IsJennyKissingDanny.wav,no Molly is kissing Danny,is Jenny kissing Danny
47,filler_15,Agent,Molly,Jenny,Push,Push,Ronnie,Ronnie,MollyIsPushingRonnie.png,IsJennyPushingRonnie.wav,no Molly is pushing Ronnie,is Jenny pushing Ronnie
