,trial_id,supposed_answer_transcript,answer_files,answer_textgrid,answer_downsampled
337,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A14WLAP6TCEKO0_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A14WLAP6TCEKO0_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A14WLAP6TCEKO0_prosody_study_exp11_03_19_2020_trial_02.wav
43,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A3DAJROQC1BLNI_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A3DAJROQC1BLNI_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A3DAJROQC1BLNI_prosody_study_exp11_03_19_2020_trial_02.wav
310,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A2OVX9UW5WANQE_prosody_study_exp11_03_19_2020_trial_02.wav
70,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1GD7ISOXO1XFZ_prosody_study_exp11_03_18_2020_trial_02.wav
241,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/AM2KK02JXXW48_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/AM2KK02JXXW48_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/AM2KK02JXXW48_prosody_study_exp11_03_19_2020_trial_02.wav
148,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/AWY6W20U8H3JA_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/AWY6W20U8H3JA_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/AWY6W20U8H3JA_prosody_study_exp11_03_19_2020_trial_02.wav
575,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1RL6LTB8DSNVE_prosody_study_exp11_03_18_2020_trial_02.wav
780,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A36ZRUGMKQA5KO_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A36ZRUGMKQA5KO_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A36ZRUGMKQA5KO_prosody_study_exp11_03_19_2020_trial_02.wav
14,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1SDOQP34RMZLE_prosody_study_exp11_03_18_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1SDOQP34RMZLE_prosody_study_exp11_03_18_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1SDOQP34RMZLE_prosody_study_exp11_03_18_2020_trial_02.wav
408,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1GV0UZU0T2ORS_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1GV0UZU0T2ORS_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1GV0UZU0T2ORS_prosody_study_exp11_03_19_2020_trial_02.wav
581,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A1GXUCBX3YNEG1_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A1GXUCBX3YNEG1_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A1GXUCBX3YNEG1_prosody_study_exp11_03_19_2020_trial_02.wav
277,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/AP7BOM5KUH8KV_prosody_study_exp11_03_18_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/AP7BOM5KUH8KV_prosody_study_exp11_03_18_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/AP7BOM5KUH8KV_prosody_study_exp11_03_18_2020_trial_02.wav
600,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A12DY4HHG6MYF0_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A12DY4HHG6MYF0_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A12DY4HHG6MYF0_prosody_study_exp11_03_19_2020_trial_02.wav
24,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A18RDBJFY3QWZL_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A18RDBJFY3QWZL_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A18RDBJFY3QWZL_prosody_study_exp11_03_19_2020_trial_02.wav
349,2,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A7FDA428ADXXP_prosody_study_exp11_03_19_2020_trial_02.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A7FDA428ADXXP_prosody_study_exp11_03_19_2020_trial_02.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A7FDA428ADXXP_prosody_study_exp11_03_19_2020_trial_02.wav
280,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/AM2KK02JXXW48_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/AM2KK02JXXW48_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/AM2KK02JXXW48_prosody_study_exp11_03_19_2020_trial_03.wav
653,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/ALKGANT1CYTZ1_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/ALKGANT1CYTZ1_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/ALKGANT1CYTZ1_prosody_study_exp11_03_19_2020_trial_03.wav
339,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/A25QWZD2F0XSEX_prosody_study_exp11_03_19_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/A25QWZD2F0XSEX_prosody_study_exp11_03_19_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/A25QWZD2F0XSEX_prosody_study_exp11_03_19_2020_trial_03.wav
244,3,no Kimmey is kicking Tommy,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze/AP7BOM5KUH8KV_prosody_study_exp11_03_18_2020_trial_03.wav,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_textgrid/AP7BOM5KUH8KV_prosody_study_exp11_03_18_2020_trial_03.TextGrid,/Users/xzfang/Desktop/prosody_study_data/exp11/responses_to_analyze_downsampled/AP7BOM5KUH8KV_prosody_study_exp11_03_18_2020_trial_03.wav
