participant,presentationnum,verb,condition,item,targword,question,yesno,list,version,index,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
A1299WL9DI3TEF,17,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,2,IS,IS,2,0.120,0,0.120,1.03015873016,114.048,119.83,0,108.20,0.075,117.920,113.499,109.044,--undefined--,75.704,82.586
A1299WL9DI3TEF,17,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,2,KISSING,KISSING,5,0.339,0,0.339,1.14988662132,121.978,143.58,0.085,109.44,0.165,143.575,122.745,133.793,119.320,70.837,82.988
A1299WL9DI3TEF,17,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,2,ANDY,ANDY,4,0.339,0,0.339,1.48911564626,107.648,114.28,0,83.79,0.326,113.442,110.718,106.739,98.812,73.512,78.306
A1299WL9DI3TEF,17,ItemBilly,YesControl,Lift,ISBILLYKISSINGANDY,yes,ListB,VersionC,nonrhyming,2,sp,sp,0,0.249,0,0.249,1.8283446712,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,28.358,53.329
A1299WL9DI3TEF,19,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListB,VersionC,nonrhyming,1,sp,sp,1,0.579,0,0.579,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,19.381,37.213
A1299WL9DI3TEF,19,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListB,VersionC,nonrhyming,1,YES,YES,3,0.259,0,0.259,0.591156462585,111.764,139.02,0.032,94.32,0.222,130.412,115.015,104.348,97.950,70.513,80.312
A1299WL9DI3TEF,19,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListB,VersionC,nonrhyming,1,SANDY,SANDY,5,0.379,0,0.379,0.850566893424,121.965,158.72,0.162,109.26,0.320,--undefined--,145.403,119.028,116.900,69.490,80.334
A1299WL9DI3TEF,19,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListB,VersionC,nonrhyming,1,IS,IS,2,0.150,0,0.150,1.22970521542,111.033,113.39,0,108.26,0.074,112.129,110.696,109.810,--undefined--,68.173,79.220
A1299WL9DI3TEF,19,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListB,VersionC,nonrhyming,1,PULLING,PULLING,5,0.309,0,0.309,1.37936507937,117.751,143.39,0.073,109.47,0.286,143.053,122.320,115.575,112.443,68.768,76.700
A1299WL9DI3TEF,19,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListB,VersionC,nonrhyming,1,TORI,TORI,4,0.389,0,0.389,1.68866213152,111.418,136.03,0.124,97.90,0.389,109.571,121.412,109.291,105.320,69.322,75.385
A1299WL9DI3TEF,19,ItemSandy,YesControl,Pull,ISSANDYPULLINGTORI,yes,ListB,VersionC,nonrhyming,1,sp,sp,0,0.190,0,0.190,2.07777777778,94.902,97.90,0,93.38,0.015,94.902,--undefined--,--undefined--,--undefined--,31.253,59.623
A1299WL9DI3TEF,20,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListB,VersionC,nonrhyming,1,sp,sp,1,0.319,0,0.319,0.0124716553288,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,19.578,33.026
A1299WL9DI3TEF,20,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListB,VersionC,nonrhyming,1,NO,NO,2,0.279,0,0.279,0.331746031746,122.792,166.85,0.060,106.30,0.279,162.783,132.519,117.082,110.238,65.640,78.428
A1299WL9DI3TEF,20,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListB,VersionC,nonrhyming,1,BONNIE,BONNIE,4,0.289,0,0.289,0.611111111111,113.066,125.48,0.104,101.19,0.021,103.981,114.721,114.253,119.311,74.418,80.269
A1299WL9DI3TEF,20,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListB,VersionC,nonrhyming,1,IS,IS,2,0.140,0,0.140,0.900453514739,117.243,119.29,0.012,113.30,0.083,118.783,117.843,115.086,117.604,73.993,78.471
A1299WL9DI3TEF,20,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListB,VersionC,nonrhyming,1,KICKING,KICKING,5,0.359,0,0.359,1.04013605442,127.097,156.68,0.112,111.22,0.359,--undefined--,141.694,134.030,116.434,62.389,78.574
A1299WL9DI3TEF,20,ItemBonnie,Patient,Kick,ISBONNIEKICKINGANDY,no,ListB,VersionC,nonrhyming,1,LAURIE,LAURIE,4,0.389,0,0.389,1.39931972789,107.887,112.45,0.122,80.68,0.382,110.913,111.157,107.276,102.097,72.018,75.741
