"","presentationnum","participant","verb","condition","word","word_num","duration","meanIntensity","meanpit"
"89",34,"A1299WL9DI3TEF","ItemDory","YesControl","POKING",5,0.349,"67.313","124.672"
"90",34,"A1299WL9DI3TEF","ItemDory","YesControl","DONNY",6,0.399,"73.989","113.039"
"91",34,"A1299WL9DI3TEF","ItemDory","YesControl","sp",7,0.14,"42.313","95.323"
"92",35,"A1299WL9DI3TEF","ItemBonnie","Verb","sp",1,0.509,"25.190","152.846"
"93",35,"A1299WL9DI3TEF","ItemBonnie","Verb","NO",2,0.229,"73.758","118.420"
"94",35,"A1299WL9DI3TEF","ItemBonnie","Verb","BONNIE",3,0.359,"75.492","115.351"
"95",35,"A1299WL9DI3TEF","ItemBonnie","Verb","IS",4,0.15,"69.777","114.538"
"96",35,"A1299WL9DI3TEF","ItemBonnie","Verb","KICKING",5,0.419,"65.611","122.285"
"97",35,"A1299WL9DI3TEF","ItemBonnie","Verb","LAURIE",6,0.349,"69.192","110.638"
"98",35,"A1299WL9DI3TEF","ItemBonnie","Verb","sp",7,0.15,"36.636","--undefined--"
"99",39,"A1299WL9DI3TEF","ItemBilly","Verb","sp",1,0.439,"15.337","--undefined--"
"100",39,"A1299WL9DI3TEF","ItemBilly","Verb","NO",2,0.2,"70.911","116.732"
"101",39,"A1299WL9DI3TEF","ItemBilly","Verb","BILLY",3,0.369,"73.626","117.864"
"102",39,"A1299WL9DI3TEF","ItemBilly","Verb","IS",4,0.1,"70.771","109.910"
"103",39,"A1299WL9DI3TEF","ItemBilly","Verb","KISSING",5,0.379,"71.152","123.626"
"104",39,"A1299WL9DI3TEF","ItemBilly","Verb","ANDY",6,0.309,"73.519","107.941"
"105",39,"A1299WL9DI3TEF","ItemBilly","Verb","sp",7,0.229,"59.267","117.394"
"106",40,"A1299WL9DI3TEF","ItemBonnie","Agent","sp",1,0.279,"30.229","--undefined--"
"107",40,"A1299WL9DI3TEF","ItemBonnie","Agent","NO",2,0.22,"75.020","123.850"
"108",40,"A1299WL9DI3TEF","ItemBonnie","Agent","BONNIE",3,0.349,"72.981","114.777"
"109",40,"A1299WL9DI3TEF","ItemBonnie","Agent","IS",4,0.12,"75.048","111.815"
"110",40,"A1299WL9DI3TEF","ItemBonnie","Agent","KICKING",5,0.379,"64.351","125.247"
"111",40,"A1299WL9DI3TEF","ItemBonnie","Agent","LAURIE",6,0.309,"72.553","113.469"
"112",40,"A1299WL9DI3TEF","ItemBonnie","Agent","sp",7,0.409,"21.247","104.020"
"113",43,"A1299WL9DI3TEF","ItemDory","Patient","sp",1,0.329,"16.541","--undefined--"
"114",43,"A1299WL9DI3TEF","ItemDory","Patient","NO",2,0.439,"61.695","119.283"
"115",43,"A1299WL9DI3TEF","ItemDory","Patient","DORY",3,0.329,"74.500","118.832"
"116",43,"A1299WL9DI3TEF","ItemDory","Patient","IS",4,0.11,"70.914","114.219"
"117",43,"A1299WL9DI3TEF","ItemDory","Patient","POKING",5,0.369,"64.000","121.450"
"118",43,"A1299WL9DI3TEF","ItemDory","Patient","DONNY",6,0.439,"67.390","109.135"
"119",43,"A1299WL9DI3TEF","ItemDory","Patient","sp",7,0.708,"14.523","--undefined--"
"120",46,"A1299WL9DI3TEF","ItemBilly","Patient","sp",1,0.519,"20.939","142.287"
"121",46,"A1299WL9DI3TEF","ItemBilly","Patient","NO",2,0.239,"73.879","120.778"
"122",46,"A1299WL9DI3TEF","ItemBilly","Patient","BILLY",3,0.299,"74.370","119.206"
"123",46,"A1299WL9DI3TEF","ItemBilly","Patient","IS",4,0.13,"75.478","113.847"
"124",46,"A1299WL9DI3TEF","ItemBilly","Patient","KISSING",5,0.379,"68.730","123.798"
"125",46,"A1299WL9DI3TEF","ItemBilly","Patient","ANDY",6,0.399,"69.748","112.770"
"126",46,"A1299WL9DI3TEF","ItemBilly","Patient","sp",7,0.06,"34.109","--undefined--"
"127",47,"A1299WL9DI3TEF","ItemDory","YesControl","sp",1,0.499,"21.138","--undefined--"
"128",47,"A1299WL9DI3TEF","ItemDory","YesControl","YES",2,0.359,"64.232","116.706"
"129",47,"A1299WL9DI3TEF","ItemDory","YesControl","DORY",3,0.259,"74.273","120.317"
"130",47,"A1299WL9DI3TEF","ItemDory","YesControl","IS",4,0.1,"70.351","114.672"
"131",47,"A1299WL9DI3TEF","ItemDory","YesControl","POKING",5,0.399,"66.066","124.439"
"132",47,"A1299WL9DI3TEF","ItemDory","YesControl","DONNY",6,0.369,"71.479","108.987"
"133",47,"A1299WL9DI3TEF","ItemDory","YesControl","sp",7,0.08,"41.537","--undefined--"
"134",50,"A1299WL9DI3TEF","ItemBonnie","Verb","sp",1,0.459,"18.739","--undefined--"
"135",50,"A1299WL9DI3TEF","ItemBonnie","Verb","NO",2,0.229,"73.069","120.301"
"136",50,"A1299WL9DI3TEF","ItemBonnie","Verb","BONNIE",3,0.309,"73.603","115.236"
"137",50,"A1299WL9DI3TEF","ItemBonnie","Verb","IS",4,0.14,"71.978","115.008"
"138",50,"A1299WL9DI3TEF","ItemBonnie","Verb","KICKING",5,0.439,"63.645","122.627"
"139",50,"A1299WL9DI3TEF","ItemBonnie","Verb","LAURIE",6,0.409,"65.591","111.066"
"140",50,"A1299WL9DI3TEF","ItemBonnie","Verb","sp",7,0.18,"18.046","--undefined--"
"141",54,"A1299WL9DI3TEF","ItemDory","Patient","sp",1,0.429,"18.347","--undefined--"
"142",54,"A1299WL9DI3TEF","ItemDory","Patient","NO",2,0.339,"72.544","122.506"
"143",54,"A1299WL9DI3TEF","ItemDory","Patient","DORY",3,0.309,"70.382","122.537"
"144",54,"A1299WL9DI3TEF","ItemDory","Patient","IS",4,0.08,"73.854","115.076"
"145",54,"A1299WL9DI3TEF","ItemDory","Patient","sp",5,0.02,"62.706","--undefined--"
"146",54,"A1299WL9DI3TEF","ItemDory","Patient","POKING",6,0.419,"65.616","124.928"
"147",54,"A1299WL9DI3TEF","ItemDory","Patient","DONNY",7,0.399,"71.268","111.355"
"148",54,"A1299WL9DI3TEF","ItemDory","Patient","sp",8,0.07,"42.159","--undefined--"
"149",59,"A1299WL9DI3TEF","ItemBilly","Verb","sp",1,0.359,"23.193","--undefined--"
"150",59,"A1299WL9DI3TEF","ItemBilly","Verb","NO",2,0.19,"68.196","125.613"
"151",59,"A1299WL9DI3TEF","ItemBilly","Verb","BILLY",3,0.339,"70.741","122.343"
"152",59,"A1299WL9DI3TEF","ItemBilly","Verb","IS",4,0.14,"74.189","114.908"
"153",59,"A1299WL9DI3TEF","ItemBilly","Verb","KISSING",5,0.349,"69.499","134.792"
"154",59,"A1299WL9DI3TEF","ItemBilly","Verb","ANDY",6,0.459,"69.366","117.386"
"155",59,"A1299WL9DI3TEF","ItemBilly","Verb","sp",7,0.19,"30.180","--undefined--"
"156",62,"A1299WL9DI3TEF","ItemSandy","Patient","sp",1,0.489,"13.617","--undefined--"
"157",62,"A1299WL9DI3TEF","ItemSandy","Patient","NO",2,0.249,"67.991","123.082"
"158",62,"A1299WL9DI3TEF","ItemSandy","Patient","SANDY",3,0.409,"71.134","122.918"
"159",62,"A1299WL9DI3TEF","ItemSandy","Patient","IS",4,0.09,"73.522","114.351"
"160",62,"A1299WL9DI3TEF","ItemSandy","Patient","sp",5,0.03,"59.357","--undefined--"
"161",62,"A1299WL9DI3TEF","ItemSandy","Patient","PULLING",6,0.399,"64.852","121.250"
"162",62,"A1299WL9DI3TEF","ItemSandy","Patient","TORI",7,0.459,"68.590","114.061"
"163",62,"A1299WL9DI3TEF","ItemSandy","Patient","sp",8,0.08,"43.244","99.268"
"164",64,"A1299WL9DI3TEF","ItemDory","Verb","sp",1,0.449,"16.275","155.630"
"165",64,"A1299WL9DI3TEF","ItemDory","Verb","NO",2,0.279,"71.919","119.716"
"166",64,"A1299WL9DI3TEF","ItemDory","Verb","DORY",3,0.319,"70.781","120.648"
"167",64,"A1299WL9DI3TEF","ItemDory","Verb","IS",4,0.08,"71.802","116.165"
"168",64,"A1299WL9DI3TEF","ItemDory","Verb","sp",5,0.03,"52.459","--undefined--"
"169",64,"A1299WL9DI3TEF","ItemDory","Verb","POKING",6,0.399,"64.122","123.978"
"170",64,"A1299WL9DI3TEF","ItemDory","Verb","DONNY",7,0.419,"70.475","111.318"
"171",64,"A1299WL9DI3TEF","ItemDory","Verb","sp",8,0.14,"38.504","--undefined--"
"172",66,"A1299WL9DI3TEF","ItemSandy","YesControl","sp",1,0.479,"18.281","--undefined--"
"173",66,"A1299WL9DI3TEF","ItemSandy","YesControl","YES",2,0.349,"68.177","121.620"
